City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,salinas,36.6777,-121.6555,32.13,49,0,0.45,US,1728244281
1,bu'aale,1.0833,42.5833,24.54,82,95,5.03,SO,1728244282
2,laholm,56.5121,13.0437,8.08,87,38,2.15,SE,1728244283
3,mount pearl,47.5166,-52.7813,10.08,87,100,6.17,CA,1728244284
4,nova sintra,14.8667,-24.7167,28.09,75,70,1.89,CV,1728244286
5,port-aux-francais,-49.35,70.2167,1.45,62,100,11.54,TF,1728244287
6,ushuaia,-54.8,-68.3,8.81,61,20,8.75,AR,1728244288
7,sao jose da coroa grande,-8.8978,-35.1478,24.96,76,26,3.47,BR,1728244290
8,lompoc,34.6391,-120.4579,25.94,53,2,5.14,US,1728244291
9,callao,-12.0667,-77.15,18.16,77,100,3.09,PE,1728244292
10,margaret river,-33.95,115.0667,11.2,91,95,2.03,AU,1728244293
11,waitangi,-43.9535,-176.5597,13.23,98,100,2.68,NZ,1728244294
12,st. john's,47.5649,-52.7093,10.54,86,100,7.6,CA,1728244295
13,utrik,11.2278,169.8474,28.35,75,79,3.57,MH,1728244297
14,nova vicosa,-17.8919,-39.3719,23.5,67,18,3.73,BR,1728244298
15,puerto natales,-51.7236,-72.4875,12.25,50,40,11.83,CL,1728244299
16,dudinka,69.4058,86.1778,-4.28,71,100,7.9,RU,1728244300
17,grytviken,-54.2811,-36.5092,-2.33,80,63,5.12,GS,1728244301
18,alofi,-19.0595,-169.9187,24.94,73,20,7.72,NU,1728244302
19,acarau,-2.8856,-40.12,26.71,72,1,8.51,BR,1728244303
20,cidreira,-30.1811,-50.2056,19.77,78,19,4.25,BR,1728244305
21,edinburgh of the seven seas,-37.0676,-12.3116,14.34,89,93,9.77,SH,1728244306
22,tazovsky,67.4667,78.7,-0.34,98,100,8.99,RU,1728244307
23,west island,-12.1568,96.8225,24.99,83,20,4.12,CC,1728244308
24,ilulissat,69.2167,-51.1,3.01,65,75,1.03,GL,1728244309
25,albany,42.6001,-73.9662,22.47,47,92,1.79,US,1728244310
